"Item","FILENAME","DESCRIPTIO","TAGNAME","TAGDESC","EXPRATION","FORCOND"
1,"a_finqc","d_ord","afinqcbn","B/N","a_finqc->b_id","NIL"
2,"a_finqc","Pack B/N","afinqpbn","Pack B/N","a_finqc->packb_id","NIL"
3,"c_agency","Agency ID","iagencid","Agency code","c_agency->ag_id","NIL"
4,"c_agency","Agency name","iagencnm","Agency name","c_agency->ag_nm","NIL"
5,"c_btype","Line & Esnxx","ilinesnx","Prod.line+ESN(XX)","c_btype->pline_id+c_btype->esnxx_id","NIL"
6,"c_btype","B type","ibtype","Batch type+ESN(XX)+Prod.line","c_btype->b_type+c_btype->esnxx_id+c_btype->pline_id","NIL"
7,"c_cntry","Country Code","cntryid","Country code","UPPER(c_cntry->country_id)","NIL"
8,"c_cntry","Country name","cntrynm","Country name","UPPER(c_cntry->country_nm)","NIL"
9,"c_curr","Currency rates","ccurrtyp","Currency type","c_curr->curr_type","NIL"
10,"c_cust","Customers","icu_id","Customer ID","c_cust->cu_id","NIL"
11,"c_cust","Customers","icu_nm","Customer name","Upper(c_cust->cu_nm)","NIL"
12,"c_cuco","CompanyID","icuco","Company ID","c_cuco->cuco_id","NIL"
13,"c_esnlnk","ESN id","ilnkesn","ESN","c_esnlnk->esn_id","NIL"
14,"c_esnlnk","Route","ilnkrout","Route","c_esnlnk->route_id+C_esnlnk->esn_id","NIL"
15,"c_esnlnk","R&ESNp","ilnkroes","Route+ESN(params)","c_esnlnk->route_id+c_esnlnk->ptype_id+c_esnlnk->pline_id+c_esnlnk->size_id+Str(c_esnlnk->value_id,9,3)+c_esnlnk->tol_id+c_esnlnk->volt_id+c_esnlnk->tc_id+c_esnlnk->term_id+c_esnlnk->esnxx_id+c_esnlnk->esny_id","NIL"
16,"c_esnxx","ID","esnxxid","ESN(XX)","c_esnxx->esnxx_id","NIL"
17,"c_esnxx","Name","esnxxnm","ESN(XX) description","Upper(c_esnxx->esnxx_nm)","NIL"
18,"c_esnxrf","CU_ID + CU_PN","C_ESNXRC","Customer ID+Customer P/N","c_esnxrf->cu_id+c_esnxrf->cu_pn","NIL"
19,"c_esnxrf","CU_ID + Esn_id","C_ESNXRE","Customer ID+ESN","c_esnxrf->cu_id+c_esnxrf->Esn_id","NIL"
20,"c_esnxrf","CU_ID + So_PN","C_ESNXRS","Customer ID+SO P/N","c_esnxrf->cu_id+c_esnxrf->so_pn","NIL"
